,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,,,,,
Sales +,"4,681","6,434","8,575","11,881","15,009","19,916","24,675","23,787",,,,,
Expenses +,"4,346","5,983","7,918","10,917","13,672","18,274","22,553","22,044",,,,,
Operating Profit,335,450,657,964,"1,337","1,642","2,122","1,743",,,,,
OPM %,7%,7%,8%,8%,9%,8%,9%,7%,,,,,
Other Income +,19,23,19,30,73,51,63,207,,,,,
Interest,55,72,91,122,59,47,63,34,,,,,
Depreciation,56,81,97,126,155,199,340,371,,,,,
Profit before tax,242,321,488,747,"1,196","1,448","1,783","1,545",,,,,
Tax %,34%,34%,35%,35%,34%,35%,24%,25%,,,,,
Net Profit +,160,211,318,483,785,936,"1,350","1,165",,,,,
EPS in Rs,2.92,3.75,5.66,7.73,12.57,15,20.84,17.99,,,,,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
